City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
72,Leningradskiy,RU,69.38,178.42,27.95,98,100,14.94,light snow
73,Ust-Kuyga,RU,70.02,135.6,-24.95,84,92,5.12,overcast clouds
74,Angoram,PG,-4.06,144.07,73.56,98,100,2.26,overcast clouds
75,Canico,PT,32.63,-16.85,68.0,56,20,9.17,few clouds
76,Vaini,TO,-21.2,-175.2,71.6,83,20,4.7,few clouds
77,Xining,CN,36.62,101.77,33.35,72,0,1.95,clear sky
78,Hilo,US,19.73,-155.09,73.99,73,40,4.7,scattered clouds
79,Torun,PL,53.01,18.6,52.0,97,100,6.51,overcast clouds
80,Georgetown,MY,5.41,100.34,78.8,88,20,1.12,light rain
81,Iqaluit,CA,63.75,-68.51,17.6,67,90,20.8,light snow
82,Acarau,BR,-2.89,-40.12,87.42,53,45,20.94,scattered clouds
83,Jumla,NP,29.27,82.18,40.03,63,0,4.21,clear sky
84,Quelimane,MZ,-17.88,36.89,84.2,66,0,17.22,clear sky
85,Ilulissat,GL,69.22,-51.1,8.6,65,20,32.21,few clouds
86,Tasiilaq,GL,65.61,-37.64,26.6,58,20,1.12,few clouds
87,Haines Junction,CA,60.75,-137.51,-0.4,77,78,2.77,broken clouds
88,Upata,VE,8.01,-62.4,85.1,68,60,1.88,light rain
89,Faanui,PF,-16.48,-151.75,79.88,78,32,16.04,scattered clouds
90,Maniitsoq,GL,65.42,-52.9,23.47,76,100,10.85,overcast clouds
91,Longyearbyen,SJ,78.22,15.64,33.8,86,75,13.87,light snow
92,Natal,BR,-5.79,-35.21,86.0,62,75,19.46,broken clouds
93,Qaanaaq,GL,77.48,-69.36,-5.71,75,50,9.17,scattered clouds
94,Tuatapere,NZ,-46.13,167.68,45.41,79,36,6.08,scattered clouds
95,Kruisfontein,ZA,-34.0,24.73,57.0,91,100,1.01,overcast clouds
96,Port Said,EG,31.26,32.28,71.6,73,0,3.36,clear sky
97,Usoke,TZ,-5.17,32.35,82.4,42,20,2.8,few clouds
98,Radomsko,PL,51.07,19.44,46.0,10,100,6.91,overcast clouds
99,Dikson,RU,73.51,80.55,-2.94,90,26,4.81,scattered clouds
