City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Vao,NC,75.06,clear sky,-22.67,167.48,Hotel Kou-Bugny
535,West Bay,KY,79.0,broken clouds,19.37,-81.42,Calypso Cove
536,Kudal,IN,76.73,clear sky,16.03,73.68,Coconut Hotel
540,Panaba,MX,81.82,light rain,21.28,-88.27,Hotel Amor
550,Moron,AR,77.0,scattered clouds,-34.65,-58.62,Hotel Morón
551,Cordoba,AR,84.2,clear sky,-31.41,-64.18,Sheraton Cordoba Hotel
558,Linhares,BR,81.34,light rain,-19.39,-40.07,Hotel Conceição
571,Maragogi,BR,82.13,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
574,Azare,NG,79.45,clear sky,11.68,10.19,Criss Hotel
581,Basco,PH,80.01,clear sky,20.45,121.97,Nathaniel's Lodge
582,Namatanai,PG,80.35,light rain,-3.67,152.43,Namatanai Hotel
583,Teseney,ER,83.34,few clouds,15.11,36.66,Sabrin Hotel
596,Conakry,GN,89.6,few clouds,9.54,-13.68,Riviera Royal Hotel
599,Trincomalee,LK,82.35,light rain,8.57,81.23,Welcombe Hotel
600,Chulumani,BO,79.07,broken clouds,-16.41,-67.53,HOSTAL DION
601,Miramar,US,84.0,scattered clouds,25.99,-80.23,Stadium Hotel
602,Caravelas,BR,82.33,light rain,-17.71,-39.25,Pousada dos Navegantes
603,Pizarro,CO,80.15,broken clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
611,Bandarbeyla,SO,75.6,broken clouds,9.49,50.81,REER XOOSHLE GROUP
612,Maxixe,MZ,80.01,clear sky,-23.86,35.35,Oceano
613,Luganville,VU,78.21,overcast clouds,-15.53,167.17,The Espiritu Hotel
614,Casas Grandes,MX,75.25,overcast clouds,30.37,-107.95,PUEBLO DEL SOuL
615,Santiago,CL,84.0,few clouds,-33.46,-70.65,Hotel Panamericano
618,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
623,Adzope,CI,77.2,moderate rain,6.11,-3.86,Hotel eunice
634,Kathu,TH,84.99,few clouds,7.92,98.33,Novotel Phuket Resort
642,Sulangan,PH,83.07,moderate rain,11.14,123.72,Maia's Beach Resort
647,Paita,PE,75.2,clear sky,-5.09,-81.11,Hotel Náutico de Paita
650,Todos Santos,MX,82.0,clear sky,23.45,-110.22,Hotel California Todos Santos
653,Mercedes,AR,81.0,scattered clouds,-34.65,-59.43,Posada del Inti Centro
661,Myrtle Beach,US,75.0,scattered clouds,33.69,-78.89,Bay View Resort Myrtle Beach
663,Manokwari,ID,80.49,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
664,Lorengau,PG,80.71,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
666,Dhidhdhoo,MV,83.79,overcast clouds,6.88,73.1,Dhidhoo beach
667,Nishihara,JP,77.0,few clouds,26.18,127.76,Minshuku Agaihama
668,Garowe,SO,78.58,few clouds,8.41,48.48,Curubo Hotel
679,Road Town,VG,86.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
682,Agbor,NG,79.45,scattered clouds,6.25,6.19,MIRAMAS HOTEL
